step,epoch,loss,learning_rate
50,0.08,1.4686122131347656,1.9625212947189097e-05
100,0.16,1.3662294006347657,1.792163543441227e-05
150,0.24,1.3559310913085938,1.6218057921635434e-05
200,0.32,1.3669244384765624,1.4514480408858604e-05
250,0.4,1.3424859619140626,1.2810902896081774e-05
300,0.48,1.3132713317871094,1.1107325383304941e-05
350,0.56,1.3351805114746094,9.40374787052811e-06
400,0.64,1.3327487182617188,7.700170357751278e-06
450,0.72,1.3325338745117188,5.996592844974447e-06
500,0.8,1.3306170654296876,4.293015332197616e-06
550,0.88,1.3511347961425781,2.5894378194207837e-06
600,0.96,1.3300082397460937,8.858603066439523e-07
