step,epoch,loss,learning_rate
50,0.08,1.497166748046875,2.9437819420783645e-06
100,0.16,1.3981640625,2.68824531516184e-06
150,0.24,1.3761021423339843,2.432708688245315e-06
200,0.32,1.3791836547851561,2.1771720613287905e-06
250,0.4,1.356309814453125,1.921635434412266e-06
300,0.48,1.3247633361816407,1.666098807495741e-06
350,0.56,1.3449903869628905,1.4105621805792163e-06
400,0.64,1.3433424377441405,1.1550255536626917e-06
450,0.72,1.3420140075683593,8.99488926746167e-07
500,0.8,1.3417425537109375,6.439522998296423e-07
550,0.88,1.3606427001953125,3.884156729131175e-07
600,0.96,1.3394284057617187,1.3287904599659285e-07
